AID,TAB,Topic,TopicIndex,Topic,TopicKeyWords
11,"Medicare Program; Inpatient Rehabilitation Facility Prospective Payment System for Federal Fiscal Year 2016. Final rule This final rule updates the prospective payment rates for inpatient rehabilitation facilities (IRFs) for federal fiscal year (FY) 2016 as required by the statute. As required by section 1886(j)(5) of the Act, this rule includes the classification and weighting factors for the IRF PPS's case-mix groups and a description of the methodologies and data used in computing the prospective payment rates for FY 2016. This final rule also finalizes policy changes, including the adoption of an IRF-specific market basket that reflects the cost structures of only IRF providers, a 1-year phase-in of the revised wage index changes, a 3-year phase-out of the rural adjustment for certain IRFs, and revisions and updates to the quality reporting program (QRP).",0,,,
12,"Medicare Program; Inpatient Psychiatric Facilities Prospective Payment System--Update for Fiscal Year Beginning October 1, 2015 (FY 2016). Final rule This final rule updates the prospective payment rates for Medicare inpatient hospital services provided by inpatient psychiatric facilities (IPFs) (which are freestanding IPFs and psychiatric units of an acute care hospital or critical access hospital). These changes are applicable to IPF discharges occurring during fiscal year (FY) 2016 (October 1, 2015 through September 30, 2016). This final rule also implements: a new 2012-based IPF market basket; an updated IPF labor-related share; a transition to new Core Based Statistical Area (CBSA) designations in the FY 2016 IPF Prospective Payment System (PPS) wage index; a phase-out of the rural adjustment for IPF providers whose status changes from rural to urban as a result of the wage index CBSA changes; and new quality measures and reporting requirements under the IPF quality reporting program. This final rule also reminds IPFs of the October 1, 2015 implementation of the International Classification of Diseases, 10th Revision, Clinical Modification (ICD-10-CM), and updates providers on the status of IPF PPS refinements.",0,,,
13,BVA survey highlights risk of injury to farm vets ,1,,,
14,Rural health inequities: data and decisions ,6,,,
15,"Medicare Program; Hospital Inpatient Prospective Payment Systems for Acute Care Hospitals and the Long-Term Care Hospital Prospective Payment System and Policy Changes and Fiscal Year 2017 Rates; Quality Reporting Requirements for Specific Providers; Graduate Medical Education; Hospital Notification Procedures Applicable to Beneficiaries Receiving Observation Services; Technical Changes Relating to Costs to Organizations and Medicare Cost Reports; Finalization of Interim Final Rules With Comment Period on LTCH PPS Payments for Severe Wounds, Modifications of Limitations on Redesignation by the Medicare Geographic Classification Review Board, and Extensions of Payments to MDHs and Low-Volume Hospitals. Final rule We are revising the Medicare hospital inpatient prospective payment systems (IPPS) for operating and capital-related costs of acute care hospitals to implement changes arising from our continuing experience with these systems for FY 2017. Some of these changes will implement certain statutory provisions contained in the Pathway for Sustainable Growth Reform Act of 2013, the Improving Medicare Post-Acute Care Transformation Act of 2014, the Notice of Observation Treatment and Implications for Care Eligibility Act of 2015, and other legislation. We also are providing the estimated market basket update to apply to the rate-of-increase limits for certain hospitals excluded from the IPPS that are paid on a reasonable cost basis subject to these limits for FY 2017. We are updating the payment policies and the annual payment rates for the Medicare prospective payment system (PPS) for inpatient hospital services provided by long-term care hospitals (LTCHs) for FY 2017. In addition, we are making changes relating to direct graduate medical education (GME) and indirect medical education payments; establishing new requirements or revising existing requirements for quality reporting by specific Medicare providers (acute care hospitals, PPS-exempt cancer hospitals, LTCHs, and inpatient psychiatric facilities), including related provisions for eligible hospitals and critical access hospitals (CAHs) participating in the Electronic Health Record Incentive Program; updating policies relating to the Hospital Value-Based Purchasing Program, the Hospital Readmissions Reduction Program, and the Hospital-Acquired Condition Reduction Program; implementing statutory provisions that require hospitals and CAHs to furnish notification to Medicare beneficiaries, including Medicare Advantage enrollees, when the beneficiaries receive outpatient observation services for more than 24 hours; announcing the implementation of the Frontier Community Health Integration Project Demonstration; and making technical corrections and changes to regulations relating to costs to related organizations and Medicare cost reports; we are providing notice of the closure of three teaching hospitals and the opportunity to apply for available GME resident slots under section 5506 of the Affordable Care Act. We are finalizing the provisions of interim final rules with comment period that relate to a temporary exception for certain wound care discharges from the application of the site neutral payment rate under the LTCH PPS for certain LTCHs; application of two judicial decisions relating to modifications of limitations on redesignation by the Medicare Geographic Classification Review Board; and legislative extensions of the Medicare-dependent, small rural hospital program and changes to the payment adjustment for low-volume hospitals.",0,,,
16,Overseas-trained doctors dominate workforce ,3,,,
17,Send in the (Potentially Life-Saving) Drones ,6,,,
18,"Changes in cause-specific neonatal and 1-59-month child mortality in India from 2000 to 2015: a nationally representative survey BACKGROUND: Documentation of the demographic and geographical details of changes in cause-specific neonatal (younger than 1 month) and 1-59-month mortality in India can guide further progress in reduction of child mortality. In this study we report the changes in cause-specific child mortality between 2000 and 2015 in India. METHODS: Since 2001, the Registrar General of India has implemented the Million Death Study (MDS) in 1.3 million homes in more than 7000 randomly selected areas of India. About 900 non-medical surveyors do structured verbal autopsies for deaths recorded in these homes. Each field report is assigned randomly to two of 404 trained physicians to classify the cause of death, with a standard process for resolution of disagreements. We combined the proportions of child deaths according to the MDS for 2001-13 with annual UN estimates of national births and deaths (partitioned across India's states and rural or urban areas) for 2000-15. We calculated the annual percentage change in sex-specific and cause-specific mortality between 2000 and 2015 for neonates and 1-59-month-old children. FINDINGS: The MDS captured 52 252 deaths in neonates and 42 057 deaths at 1-59 months. Examining specific causes, the neonatal mortality rate from infection fell by 66% from 11.9 per 1000 livebirths in 2000 to 4.0 per 1000 livebirths in 2015 and the rate from birth asphyxia or trauma fell by 76% from 9.0 per 1000 livebirths in 2000 to 2.2 per 1000 livebirths in 2015. At 1-59 months, the mortality rate from pneumonia fell by 63% from 11.2 per 1000 livebirths in 2000 to 4.2 per 1000 livebirths in 2015 and the rate from diarrhoea fell by 66% from 9.4 per 1000 livebirths in 2000 to 3.2 per 1000 livebirths in 2015 (with narrowing girl-boy gaps). The neonatal tetanus mortality rate fell from 1.6 per 1000 livebirths in 2000 to less than 0.1 per 1000 livebirths in 2015 and the 1-59-month measles mortality rate fell from 3.3 per 1000 livebirths in 2000 to 0.3 per 1000 livebirths in 2015. By contrast, mortality rates for prematurity or low birthweight rose from 12.3 per 1000 livebirths in 2000 to 14.3 per 1000 livebirths in 2015, driven mostly by increases in term births with low birthweight in poorer states and rural areas. 29 million cumulative child deaths occurred from 2000 to 2015. The average annual decline in mortality rates from 2000 to 2015 was 3.3% for neonates and 5.4% for children aged 1-59 months. Annual declines from 2005 to 2015 (3.4% decline for neonatal mortality and 5.9% decline in 1-59-month mortality) were faster than were annual declines from 2000 to 2005 (3.2% decline for neonatal mortality and 4.5% decline in 1-59-month mortality). These faster declines indicate that India avoided about 1 million child deaths compared with continuation of the 2000-05 declines. INTERPRETATION: To meet the 2030 Sustainable Development Goals for child mortality, India will need to maintain the current trajectory of 1-59-month mortality and accelerate declines in neonatal mortality (to >5% annually) from 2015 onwards. Continued progress in reduction of child mortality due to pneumonia, diarrhoea, malaria, and measles at 1-59 months is feasible. Additional attention to low birthweight is required. FUNDING: National Institutes of Health, Disease Control Priorities Network, Maternal and Child Epidemiology Estimation Group, and University of Toronto.",3,,,
19,"[Analysis on status and determinants of outpatient service utilization of rural floating population in Beijing at different residence time] OBJECTIVE: To study the status and identify the determinants of outpatient service utilization of rural floating population in Beijing who have different accumulated residence time. METHODS: The survey data of rural floating population health and health care services in Beijing in 2014 were used, and the migrant population aged 18 years and above were taken as the research object. Whether to use outpatient service within two weeks was taken as dependent variable, gender, age, education level, self-assessment score of socioeconomic status, accumulated residence time in Beijing, health insurance, average household income, suffering from high blood pressure or diabetes as independent variables. Logistic regression model was used to analyze the influencing factors. RESULTS: The average age of the research object was 36.7 years, with mostly secondary education. The average accumulated residence time in Beijing was 8.4 years. The two-week prevalence rate was 10.3%, the two-week visiting rate calculated by person-time was 6.0%. The Logistic regression model suggested that, socioeconomic status, accumulated residence time and suffering from high blood pressure or diabetes were statistically significant determinants of outpatient service utilization. CONCLUSION: The research object is a younger and less educated population, their health status is better and outpatient service utilization is lower. It is found that people who have longer accumulated residence time in Beijing have lower outpatient service utilization. This is because people with longer residence time have lower age-adjusted two-week prevalence rate. This is also because people with longer residence time have larger proportion of taking continuous measures under doctor's advice. It does not mean people with longer residence time have lower utilization of medical service. The residence time variable plays the role of proxy variable. It can solve the problem of variables' endoge-neity. At the same time, it can reflect the influence to outpatient services utilization of some determinants, which are not included in the model but varies with residence time.",8,,,
20,"[Influence of awareness on the behaviors of Chinese adults with diabetes mellitus] OBJECTIVE: To explore the influence of awareness on the behaviors of Chinese adults with diabetes mellitus, so as to provide scientific evidence for developing relevant policies and strategies in the prevention and control of diabetes. METHODS: Data from the 2013 China Chronic Disease Risk Factor Surveillance were used, covering 297 surveillance counties (districts). The variables involved in this cross-sectional study included: the prevalence of diabetes, the awareness situation, demographic characteristics, behaviors, and other information. The study used descriptive analysis to analyze diabetes status and chi-square test to determine the difference in the distribution of behaviors between patients who were aware of their disease and those who were not. Logistic analysis was performed to examine the influence of diabetes awareness on patients' behaviors with adjustment for potential confounders. RESULTS: A total of 175 670 subjects were involved. The prevalence of self-reported diabetes in China in 2013 was 3.9%, while the awareness rate was 38.6%. The percentage of current smokers or current drinkers among the patients who were aware of their disease (20.2%, 25.0%) was less than that among the patients who were not aware (25.8%, 35.0%). The proportion of those who often exercised among the patients who were aware of their disease (83.4%) was higher than that among the patients who were not aware (79.0%). There was slightly higher proportion of the subjects who had insufficient intake of vegetables and fruits or over intake of red meat among the patients who were aware of their disease (49.4%, 28.0%) than that among the patients who were not aware (48.4%, 26.1%). After controlling urban and rural areas, regions, age, gender, nationality, marital status, educational level, occupation, and income factors, the possibility of current smoking (OR=0.79) or drinking (OR=0.58) among the patients who were aware of their disease was lower than among those who were not; the possibility of more than 150-minute physical activity per week (OR=1.30) among the patients who were aware of their disease was higher than among those who were not. CONCLUSION: The awareness rate of diabetes in China still remains low. Kno-wing whether they have diabetes or not has an effect on individual choice of behaviors, including smoking, drinking and physical activities. Therefore, health education and health examination for diabetes should be further expanded with wide cooperation from all relevant departments, thus forming an integrated environment involving individuals, health systems and socioeconomic policies to prevent and control diabetes.",2,,,
21,"Evaluating the feasibility and uptake of a community-led HIV testing and multi-disease health campaign in rural Uganda INTRODUCTION: Multi-disease community health campaigns can be effective for population-wide HIV testing in a research setting (SEARCH: NCT01864603). We sought to evaluate feasibility and uptake of a community-led health campaign (CLHC) planned and implemented by village leaders and local clinic workers in Uganda. METHODS: Over five months in 2014, locally elected village leaders and Ministry of Health (MoH) clinic staff in a rural parish in Uganda planned a census followed by a CLHC, after training by two SEARCH trial consultants and by leaders from a neighbouring parish that had previously participated in a SEARCH health campaign. We defined feasibility as: (1) elected leaders' participation in training and implementation of pre-campaign census and mobilization activities; (2) implementation of all campaign activities by MoH-funded, local clinic staff; and (3) community participation in the campaign, including point-of-care screening for HIV, malaria, hypertension and diabetes, and same-day referral for male circumcision and family planning (FP). Costing of all salaries and supplies was conducted. RESULTS: Elected leaders from all eight villages in the parish participated in CLHC training. They and local clinic staff met monthly to select and plan CLHC services. Village leaders then leveraged existing volunteer health teams to perform a door-to-door census, enumerating 5,202 parish residents over 2 weeks. 2,753 (53%) residents participated in the 6-day CLHC. Of 1,584 adult participants, 1,474 (93%) tested for HIV: 105/1,474 (7.1%) tested HIV positive. 27% (751/2,753) of participants reported fever and underwent malaria rapid diagnostic testing: 5.3% (40/751) tested positive. Among adults screened, 19% (271/1,452) were hypertensive, and 3% (18/637) had a random blood sugar >11.1 mmol/L. Of 805 men and boys (>10 years), 91 (11%) accepted same-day clinic referral and underwent medical circumcision. Of 900 women offered same-day long-term FP referrals, 25 accepted. The CLHC cost, including census, mobilization and testing services, was $23,597 ($8.57/participant). CONCLUSION: Elected village leaders successfully planned and conducted a 6-day multi-disease health campaign with service provision by local clinic staff that reached over half of a rural Ugandan community. These data suggest it is feasible for local leaders and clinics to adopt a multi-disease health campaign approach to scale-up HIV testing in rural Africa.",4,,,
22,"Medicare and Medicaid Programs; CY 2019 Home Health Prospective Payment System Rate Update and CY 2020 Case-Mix Adjustment Methodology Refinements; Home Health Value-Based Purchasing Model; Home Health Quality Reporting Requirements; Home Infusion Therapy Requirements; and Training Requirements for Surveyors of National Accrediting Organizations. Final rule with comment period This final rule with comment period updates the home health prospective payment system (HH PPS) payment rates, including the national, standardized 60-day episode payment rates, the national per- visit rates, and the non-routine medical supply (NRS) conversion factor, effective for home health episodes of care ending on or after January 1, 2019. This rule also: Updates the HH PPS case-mix weights for calendar year (CY) 2019 using the most current, complete data available at the time of rulemaking; discusses our efforts to monitor the potential impacts of the rebasing adjustments that were implemented in CYs 2014 through 2017; finalizes a rebasing of the HH market basket (which includes a decrease in the labor-related share); finalizes the methodology used to determine rural add-on payments for CYs 2019 through 2022, as required by section 50208 of the Bipartisan Budget Act of 2018 (Pub. L. 115-123) hereinafter referred to as the ""BBA of 2018""; finalizes regulations text changes regarding certifying and recertifying patient eligibility for Medicare home health services; and finalizes the definition of ""remote patient monitoring"" and the recognition of the costs associated with it as allowable administrative costs. This rule also summarizes the case-mix methodology refinements for home health services beginning on or after January 1, 2020, which includes the elimination of therapy thresholds for payment and a change in the unit of payment from a 60-day episode to a 30-day period, as mandated by section 51001 of the Bipartisan Budget Act of 2018. This rule also finalizes changes to the Home Health Value-Based Purchasing (HHVBP) Model. In addition, with respect to the Home Health Quality Reporting Program, this rule discusses the Meaningful Measures Initiative; finalizes the removal of seven measures to further the priorities of this initiative; discusses social risk factors and provides an update on implementation efforts for certain provisions of the IMPACT Act; and finalizes a regulatory text change regarding OASIS data. For the home infusion therapy benefit, this rule finalizes health and safety standards that home infusion therapy suppliers must meet; finalizes an approval and oversight process for accrediting organizations (AOs) that accredit home infusion therapy suppliers; finalizes the implementation of temporary transitional payments for home infusion therapy services for CYs 2019 and 2020; and responds to the comments received regarding payment for home infusion therapy services for CY 2021 and subsequent years. Lastly, in this rule, we are finalizing only one of the two new requirements we proposed to implement in the regulations for the oversight of AOs that accredit Medicare-certified providers and suppliers. More specifically, for reasons set out more fully in the section X. of this final rule with comment period, we have decided not to finalize our proposal to require that all surveyors for AOs that accredit Medicare-certified providers and suppliers take the same relevant and program-specific CMS online surveyor training that the State Agency surveyors are required to take. However, we are finalizing our proposal to require that each AO must provide a written statement with their application to CMS, stating that if one of its fully accredited providers or suppliers, in good- standing, provides written notification that they wish to voluntarily withdraw from the AO's CMS-approved accreditation program, the AO must continue the provider or supplier's current accreditation until the effective date of withdrawal identified by the facility or the expiration date of the term of accreditation, whichever comes first.",0,,,
23,Veterinary care for a farm dog Farmer Joe Stanley debates access to veterinary care for his dog.,0,,,
24,"Medicare Program; Durable Medical Equipment Fee Schedule Adjustments To Resume the Transitional 50/50 Blended Rates To Provide Relief in Rural Areas and Non-Contiguous Areas. Interim final rule with comment period This interim final rule with comment period makes technical amendments to the regulation to reflect the extension of the transition period from June 30, 2016 to December 31, 2016 that was mandated by the 21st Century Cures Act for phasing in fee schedule adjustments for certain durable medical equipment (DME) and enteral nutrition paid in areas not subject to the Durable Medical Equipment, Prosthetics, Orthotics, and Supplies (DMEPOS) Competitive Bidding Program (CBP). In addition, this interim final rule with comment period amends the regulation to resume the transition period's blended fee schedule rates for items furnished in rural areas and non-contiguous areas (Alaska, Hawaii, and United States territories) not subject to the CBP from June 1, 2018 through December 31, 2018. This interim final rule with comment period also makes technical amendments to existing regulations for DMEPOS items and services to reflect the exclusion of infusion drugs used with DME from the DMEPOS CBP.",0,,,
25,"Normative Data for Thyroid Stimulating Hormone for Screening of Congenital Hypothyroidism OBJECTIVE: To generate normative data for thyroid stimulating hormone (TSH) levels in heel prick samples collected from newborns from 24 h to 7 d of age. METHODS: Five regional laboratories were designated as the testing laboratories. Dried blood spots (DBS) from babies (> or = 34 wk of gestation) were collected by heel prick at least after 24 h and within seven days after birth. TSH estimation was done using time resolved fluoroimmunoassay. Values above 20mIU/L were labelled as presumptive positive. Hour interval specific normative data was categorized at 6 h intervals. Another category placed was division into 24-72 h category, 73-96 h and 99-168 h. Percentile charts were calculated across these specified intervals. RESULTS: Samples analysed were 104,006 collected cumulatively from the 5 centers. Of the total samples analysed for TSH, 92.8% had values less than 5 mIU/l. When TSH values were interpreted with respect to time, a steady decrease with time was observed. Of the babies' samples, 48,839 were collected between 24 and 48 h, 23,983 between 49 to 72 h and 30,883 were collected after 72 h. The mean TSH concentration demonstrated a steady decline from 24 h to 168 h. It is apparent that 10 mIU/l is the 97.5th percentile value even when corrected for gender, birth weight and age at sampling. Thus 10 mIU/l seems to be the right cutoff beyond which a second sample should be sought. CONCLUSIONS: This is the largest series reported with a broader population mix with representations of both urban (including slums) as well as a rural population. As this study excluded preterm babies, the utility of cut offs generated is not applicable to this subset and also to critically sick neonates. However, this study gives a true representation of the normative values for majority of the newborns born at term with weight appropriate for the gestation.",7,,,
26,"Rising rural body-mass index is the main driver of the global obesity epidemic in adults Body-mass index (BMI) has increased steadily in most countries in parallel with a rise in the proportion of the population who live in cities(1,2). This has led to a widely reported view that urbanization is one of the most important drivers of the global rise in obesity(3-6). Here we use 2,009 population-based studies, with measurements of height and weight in more than 112 million adults, to report national, regional and global trends in mean BMI segregated by place of residence (a rural or urban area) from 1985 to 2017. We show that, contrary to the dominant paradigm, more than 55% of the global rise in mean BMI from 1985 to 2017-and more than 80% in some low- and middle-income regions-was due to increases in BMI in rural areas. This large contribution stems from the fact that, with the exception of women in sub-Saharan Africa, BMI is increasing at the same rate or faster in rural areas than in cities in low- and middle-income regions. These trends have in turn resulted in a closing-and in some countries reversal-of the gap in BMI between urban and rural areas in low- and middle-income countries, especially for women. In high-income and industrialized countries, we noted a persistently higher rural BMI, especially for women. There is an urgent need for an integrated approach to rural nutrition that enhances financial and physical access to healthy foods, to avoid replacing the rural undernutrition disadvantage in poor countries with a more general malnutrition disadvantage that entails excessive consumption of low-quality calories.",7,,,
